Company,Rating,Reviews,Industry & Location
Tata AIG,4.1,(2.8k),Insurance | Mumbai +245 other locations
Square Yards,3.7,(2.8k),Internet | Gurgaon / Gurugram +48 other locations
Max Healthcare,4.0,(2.8k),Healthcare | New Delhi +70 other locations
UPL,4.1,(2.8k),Agro Chemicals | Ankleshwar +175 other locations
Alstom Transportation,3.7,(2.8k),Engineering & Construction | Bangalore / Bengaluru +73 other locations
UNO Minda,4.0,(2.8k),Auto Components | Pune +97 other locations
CMS IT Services,3.1,(2.8k),IT Services & Consulting | Mumbai +150 other locations
S&P Global,4.0,(2.8k),Analytics & KPO | Hyderabad / Secunderabad +42 other locations
Tata Technologies,3.6,(2.8k),Engineering & Construction | Pune +48 other locations
Barclays,3.8,(2.8k),Banking | Pune +36 other locations
Walmart,3.6,(2.7k),Retail | Bangalore / Bengaluru +87 other locations
PepsiCo,4.0,(2.7k),Food Processing | Hyderabad / Secunderabad +256 other locations
UnitedHealth,4.0,(2.7k),Healthcare | Hyderabad / Secunderabad +16 other locations
Varroc Group,3.6,(2.7k),Auto Components | Pune +60 other locations
Amazon Transportation Services,4.2,(2.8k),Hyderabad / Secunderabad +215 other locations
Titan Company,4.3,(2.7k),Retail | Bangalore / Bengaluru +165 other locations
Whitehat jr,3.4,(2.7k),EdTech | Mumbai +48 other locations
ACC,3.9,(2.7k),Building Material | Mumbai +246 other locations
Croma,3.9,(2.7k),Retail | Mumbai +173 other locations
Dilip Buildcon,4.0,(2.7k),Engineering & Construction | Bhopal +210 other locations
Zensar Technologies,3.7,(2.7k),IT Services & Consulting | Pune +28 other locations
Torrent Pharmaceuticals,3.9,(2.7k),Pharma | Ahmedabad +113 other locations
Bajaj Allianz General Insurance,3.8,(2.7k),Insurance | Pune +259 other locations
Mankind Pharma,3.9,(2.7k),Pharma | New Delhi +217 other locations
Societe Generale Global Solution Centre,3.7,(2.7k),IT Services & Consulting | Bangalore / Bengaluru +24 other locations
Shoppers Stop,4.1,(2.6k),Retail | Mumbai +78 other locations
Nokia,4.1,(2.6k),Telecom | Bangalore / Bengaluru +166 other locations
Afcons Infrastructure,4.2,(2.6k),Engineering & Construction | Mumbai +111 other locations
PhonePe,4.0,(2.7k),FinTech | Bangalore / Bengaluru +312 other locations
TVS Credit,4.2,(2.7k),NBFC | Chennai +373 other locations
Fiserv,2.9,(2.6k),FinTech | Pune +32 other locations
I Process Services,3.9,(2.6k),Mumbai +364 other locations
HDFC Sales,4.0,(2.6k),Financial Services | Mumbai +314 other locations
Quest Global,3.6,(2.6k),IT Services & Consulting | Bangalore / Bengaluru +42 other locations
Fujitsu,3.8,(2.6k),IT Services & Consulting | Pune +39 other locations
Apollo Tyres,4.0,(2.5k),Auto Components | Chennai +165 other locations
Capita,3.6,(2.5k),IT Services & Consulting | Pune +29 other locations
MSN Laboratories,3.7,(2.6k),Pharma | Hyderabad / Secunderabad +86 other locations
Suzlon Group,4.0,(2.5k),Power | Pune +124 other locations
Flex,4.0,(2.5k),Electronics Manufacturing | Chennai +43 other locations
IDFC FIRST Bharat ,4.4,(2.5k),Financial Services | Chennai +349 other locations
Nestle,3.9,(2.5k),FMCG | Gurgaon / Gurugram +268 other locations
Eternal Limited,3.7,(2.5k),Internet | Gurgaon / Gurugram +212 other locations
Shree Cement,3.8,(2.5k),Building Material | Beawar +240 other locations
Sahrudaya Healthcare (Medicover Hospitals),4.6,(2.5k),Healthcare | Hyderabad / Secunderabad +43 other locations
ElasticRun,3.5,(2.5k),Logistics | Pune +374 other locations
Jindal Stainless,4.1,(2.5k),Iron & Steel | Jajpur +69 other locations
IKS Health,3.6,(2.5k),Analytics & KPO | Mumbai +26 other locations
Landmark Group,3.9,(2.4k),Retail | Bangalore / Bengaluru +157 other locations
Yazaki,3.8,(2.4k),Auto Components | Pune +85 other locations
GATI-KWE ,3.9,(2.4k),Logistics | Hyderabad / Secunderabad +156 other locations
Statestreet HCL Services,3.4,(2.4k),BPO | Chennai +17 other locations
DS Group,4.0,(2.5k),FMCG | Noida +260 other locations
Exide Industries,3.5,(2.4k),Auto Components | Kolkata +195 other locations
AGS Health,4.0,(2.4k),Analytics & KPO | Chennai +50 other locations
KPMG Global Services,3.5,(2.4k),Management Consulting | Bangalore / Bengaluru +36 other locations
Blue Dart Express Ltd,4.0,(2.4k),Logistics | Mumbai +258 other locations
Tata Elxsi,3.7,(2.5k),IT Services & Consulting | Bangalore / Bengaluru +27 other locations
Indus Towers,3.7,(2.4k),Hardware & Networking | Gurgaon / Gurugram +199 other locations
VVDN Technologies,3.6,(2.4k),IT Services & Consulting | Gurgaon / Gurugram +41 other locations
Sterlite Technologies,3.8,(2.4k),Hardware & Networking | Aurangabad +96 other locations
Britannia,4.0,(2.4k),FMCG | Bangalore / Bengaluru +264 other locations
TVS Supply Chain Solutions,3.8,(2.4k),Chennai +144 other locations
Micro Labs,3.6,(2.4k),Pharma | Bangalore / Bengaluru +138 other locations
Shell,4.0,(2.4k),Oil & Gas | Bangalore / Bengaluru +85 other locations
Sammaan Capital Limited,3.7,(2.3k),NBFC | New Delhi +197 other locations
XpressBees,4.1,(3.2k),Pune +267 other locations
BlackBuck,3.7,(2.4k),Internet | Bangalore / Bengaluru +350 other locations
Blinkit,3.7,(2.4k),Internet | Gurgaon / Gurugram +93 other locations
Dalmia Bharat Cement,4.0,(2.3k),Building Material | Guwahati +234 other locations
Bajaj Electricals,4.0,(2.3k),Consumer Electronics & Appliances | Mumbai +220 other locations
Domino's Pizza,3.9,(2.4k),New Delhi +230 other locations
SRF,4.1,(2.4k),Chemicals | Bharuch +65 other locations
Paras Hospital,4.4,(2.3k),Healthcare | Patna +57 other locations
G4S,3.9,(2.4k),Law Enforcement & Security | Gurgaon / Gurugram +146 other locations
KFintech,3.5,(2.3k),FinTech | Hyderabad / Secunderabad +105 other locations
Voltas,4.0,(2.3k),Consumer Electronics & Appliances | Mumbai +183 other locations
Kansai Nerolac Paints,3.8,(2.3k),Chemicals | Mumbai +220 other locations
Patanjali Ayurved,3.9,(2.3k),FMCG | Haridwar +286 other locations
ZS,3.3,(2.3k),Management Consulting | Pune +16 other locations
Capgemini Engineering,3.4,(2.3k),IT Services & Consulting | Bangalore / Bengaluru +27 other locations
Fortis Healthcare,4.0,(2.3k),Healthcare | New Delhi +64 other locations
Sonalika Tractors,3.6,(2.3k),Automobile | Hoshiarpur +174 other locations
McDonald's,4.0,(2.3k),New Delhi +144 other locations
ACT Fibernet,4.0,(2.3k),Telecom | Hyderabad / Secunderabad +51 other locations
Alldigi Tech,4.0,(2.3k),BPO | Chennai +33 other locations
Ajanta Pharma,4.0,(2.2k),Pharma | Mumbai +114 other locations
ESAF Small Finance Bank,3.7,(2.3k),Banking | Thrissur +377 other locations
Tractors and Farm Equipment,4.0,(2.2k),Industrial Machinery | Chennai +176 other locations
Axis Direct,3.8,(2.2k),Financial Services | Mumbai +264 other locations
KocharTech,3.9,(2.2k),IT Services & Consulting | Kolkata +26 other locations
Blue Star,4.1,(2.2k),Consumer Electronics & Appliances | Mumbai +142 other locations
Movate,3.3,(2.2k),IT Services & Consulting | Chennai +35 other locations
NoBroker,3.1,(2.2k),Real Estate | Bangalore / Bengaluru +46 other locations
Himalaya Wellness,4.1,(2.2k),Bangalore / Bengaluru +217 other locations
suzuki motor gujarat,4.2,(2.2k),Automobile | Ahmedabad +110 other locations
Ola Electric Mobility ,3.3,(2.2k),Automobile | Bangalore / Bengaluru +338 other locations
Foundever,3.5,(2.2k),BPO | Hyderabad / Secunderabad +22 other locations
Care Health Insurance,3.6,(2.2k),Internet | Gurgaon / Gurugram +223 other locations
V-Mart,4.1,(2.2k),Retail | Gurgaon / Gurugram +263 other locations
DBS Bank,3.8,(2.2k),Banking | Hyderabad / Secunderabad +160 other locations
Taj Hotels Resorts and Palaces,4.2,(2.2k),Mumbai +102 other locations
Mahindra Rural Housing Finance,4.0,(2.2k),NBFC | Mumbai +443 other locations
Star Health & Allied Insurance,3.6,(2.2k),Insurance | Chennai +300 other locations
BT Group,3.9,(2.2k),Telecom | Gurgaon / Gurugram +22 other locations
Parle Agro,4.0,(2.2k),Beverage | Mumbai +225 other locations
